Graphs to Create:

GraphN = 100, GraphK = 8, graphP = 0.001, TS = 000, density = 0.05, running time = 13.491208999999893 ms
GraphN = 100, GraphK = 8, graphP = 0.001, TS = 100, density = 0.1, running time  =  20.020510000000047 ms
GraphN = 100, GraphK = 8, graphP = 0.001, TS = 100, density = 0.2, running time  =  56.65495500000006  ms
GraphN = 100, GraphK = 8, graphP = 0.001, TS = 100, density = 0.3, running time  =  69.025381 ms
GraphN = 100, GraphK = 8, graphP = 0.001, TS = 100, density = 0.4, running time  =  82.87337299999997  ms
GraphN = 100, GraphK = 8, graphP = 0.001, TS = 100, density = 0.5, running time  =  103.26232300000004 ms

GraphN = 100, GraphK = 8, graphP = 0.01, TS = 100, density = 0.05, running time = 13.277232999999944 ms
GraphN = 100, GraphK = 8, graphP = 0.01, TS = 100, density = 0.1, running time  =  13.277232999999944 ms
GraphN = 100, GraphK = 8, graphP = 0.01, TS = 100, density = 0.2, running time  =  27.02499799999991 ms
GraphN = 100, GraphK = 8, graphP = 0.01, TS = 100, density = 0.3, running time  =  43.37601499999999 ms
GraphN = 100, GraphK = 8, graphP = 0.01, TS = 100, density = 0.4, running time  =  79.45537400000002 ms
GraphN = 100, GraphK = 8, graphP = 0.01, TS = 100, density = 0.5, running time  =  64.97974200000001 ms

GraphN = 100, GraphK = 8, graphP = 0.1, TS = 100, density = 0.05, running time = 12.716332999999969 ms
GraphN = 100, GraphK = 8, graphP = 0.1, TS = 100, density = 0.1, running time  = 15.316160999999995 ms
GraphN = 100, GraphK = 8, graphP = 0.1, TS = 100, density = 0.2, running time  = 23.30292300000003  ms
GraphN = 100, GraphK = 8, graphP = 0.1, TS = 100, density = 0.3, running time  = 41.929601999999955 ms
GraphN = 100, GraphK = 8, graphP = 0.1, TS = 1000, density = 0.4, running time = 62.57099500000007  ms
GraphN = 100, GraphK = 8, graphP = 0.1, TS = 100, density = 0.5, running time  = 68.80071700000001 ms
--------
GraphN = 1000, GraphK = 8, graphP = 0.001, TS = 000, density = 0.05, running time =  66.381099 ms
GraphN = 1000, GraphK = 8, graphP = 0.001, TS = 100, density = 0.1, running time  =  127.49190500000007 ms
GraphN = 1000, GraphK = 8, graphP = 0.001, TS = 100, density = 0.2, running time  =  220.784031 ms
GraphN = 1000, GraphK = 8, graphP = 0.001, TS = 100, density = 0.3, running time  =  377.68038199999987 ms
GraphN = 1000, GraphK = 8, graphP = 0.001, TS = 100, density = 0.4, running time  =  529.393512 ms
GraphN = 1000, GraphK = 8, graphP = 0.001, TS = 100, density = 0.5, running time  =  575.906103 ms

GraphN = 1000, GraphK = 8, graphP = 0.01, TS = 100, density = 0.05, running time = 77.38503200000002 ms
